Transcript	Exon	Target.Index	Target.Exon
ENST00000309955	ENSE00002684918	1	ENSPTRE00000438160
ENST00000309955	ENSE00003790546	1	ENSPTRE00000425581
ENST00000309955	ENSE00003682105	1	ENSPTRE00000250429
ENST00000309955	ENSE00003055759	1	ENSPTRE00000250430
ENST00000309955	ENSE00003640229	1	ENSPTRE00000250431
ENST00000309955	ENSE00003651940	1	ENSPTRE00000250432
ENST00000309955	ENSE00003784075	1	ENSPTRE00000250433
ENST00000309955	ENSE00003513466	1	ENSPTRE00000250434
ENST00000309955	ENSE00001931152	1	ENSPTRE00000486951
ENST00000443227	ENSE00003691588	2	ENSPTRE00000425581
ENST00000443227	ENSE00003682105	2	ENSPTRE00000250429
ENST00000443227	ENSE00003055759	2	ENSPTRE00000250430
ENST00000443227	ENSE00003640229	2	ENSPTRE00000250431
ENST00000443227	ENSE00003651940	2	ENSPTRE00000250432
ENST00000443227	ENSE00003784075	2	ENSPTRE00000250433
ENST00000443227	ENSE00003513466	2	ENSPTRE00000250434
ENST00000443227	ENSE00001623689	2	ENSPTRE00000486951
ENST00000341222	ENSE00002684918	3	ENSPTRE00000438160
ENST00000341222	ENSE00003790546	3	ENSPTRE00000425581
ENST00000341222	ENSE00003682105	3	ENSPTRE00000250429
ENST00000341222	ENSE00003055759	3	ENSPTRE00000250430
ENST00000341222	ENSE00001671465	3	ENSPTRE00000491187
ENST00000341582	ENSE00002684918	4	ENSPTRE00000438160
ENST00000341582	ENSE00003790546	4	ENSPTRE00000425581
ENST00000341582	ENSE00003682105	4	ENSPTRE00000250429
ENST00000341582	ENSE00003055759	4	ENSPTRE00000250430
ENST00000341582	ENSE00003784075	4	ENSPTRE00000250433
ENST00000341582	ENSE00003513466	4	ENSPTRE00000250434
ENST00000341582	ENSE00001768912	4	ENSPTRE00000486951
ENST00000342795	ENSE00002684918	5	ENSPTRE00000438160
ENST00000342795	ENSE00003790546	5	ENSPTRE00000425581
ENST00000342795	ENSE00003682105	5	ENSPTRE00000250429
ENST00000342795	ENSE00003055759	5	ENSPTRE00000250430
ENST00000342795	ENSE00003640229	5	ENSPTRE00000250431
ENST00000342795	ENSE00003651940	5	ENSPTRE00000250432
ENST00000342795	ENSE00003784075	5	ENSPTRE00000250433
ENST00000342795	ENSE00001862667	5	ENSPTRE00000445154
ENST00000395148	ENSE00002684918	6	ENSPTRE00000438160
ENST00000395148	ENSE00003790546	6	ENSPTRE00000425581
ENST00000395148	ENSE00003682105	6	ENSPTRE00000250429
ENST00000395148	ENSE00001647382	6	ENSPTRE00000459188
ENST00000441224	ENSE00002684918	7	ENSPTRE00000438160
ENST00000441224	ENSE00003790546	7	ENSPTRE00000425581
ENST00000433445	ENSE00001774293	8	ENSPTRE00000438160
ENST00000423241	ENSE00002684918	9	ENSPTRE00000438160
ENST00000423241	ENSE00003790546	9	ENSPTRE00000425581
ENST00000423241	ENSE00003682105	9	ENSPTRE00000250429
ENST00000423241	ENSE00003055759	9	ENSPTRE00000250430
ENST00000423241	ENSE00003640229	9	ENSPTRE00000250431
ENST00000423241	ENSE00003651940	9	ENSPTRE00000250432
ENST00000423241	ENSE00003784075	9	ENSPTRE00000250433
ENST00000423241	ENSE00003513466	9	ENSPTRE00000250434
ENST00000423241	ENSE00001662436	9	ENSPTRE00000486951
ENST00000425030	ENSE00001661375	10	ENSPTRE00000438160
