geneId	human_trans	chimp_trans
ENSG00000143954	ENST00000393897	ENSPTRT00000022521
ENSG00000143954	ENST00000272324	ENSPTRT00000022521
ENSG00000143954	ENST00000409471	ENSPTRT00000091708
ENSG00000109107	ENST00000395319	ENSPTRT00000097156
ENSG00000109107	ENST00000395321	ENSPTRT00000016458
ENSG00000109107	ENST00000226253	ENSPTRT00000016458
ENSG00000109107	ENST00000460201	ENSPTRT00000097156
ENSG00000109107	ENST00000584086	ENSPTRT00000097156
ENSG00000109107	ENST00000581807	ENSPTRT00000016458
ENSG00000109107	ENST00000581807	ENSPTRT00000097156
ENSG00000109107	ENST00000435638	ENSPTRT00000016458
ENSG00000109107	ENST00000435638	ENSPTRT00000097156
ENSG00000109107	ENST00000578590	ENSPTRT00000016458
ENSG00000109107	ENST00000578590	ENSPTRT00000097156
ENSG00000114735	ENST00000434410	ENSPTRT00000028012
ENSG00000114735	ENST00000232854	ENSPTRT00000028012
ENSG00000114735	ENST00000455834	ENSPTRT00000028012
ENSG00000114735	ENST00000443894	ENSPTRT00000028012
ENSG00000140285	ENST00000267843	ENSPTRT00000013024
ENSG00000140285	ENST00000560270	ENSPTRT00000013024
ENSG00000140285	ENST00000560979	ENSPTRT00000013024
ENSG00000140285	ENST00000614567	ENSPTRT00000013024
ENSG00000104472	ENST00000220913	ENSPTRT00000096859
ENSG00000104472	ENST00000519533	ENSPTRT00000038138
ENSG00000104472	ENST00000518971	ENSPTRT00000038138
ENSG00000104472	ENST00000519618	ENSPTRT00000096859
ENSG00000118496	ENST00000237281	ENSPTRT00000034492
ENSG00000116996	ENST00000366570	ENSPTRT00000003938
ENSG00000116996	ENST00000611898	ENSPTRT00000003938
ENSG00000134545	ENST00000536188	ENSPTRT00000067984
ENSG00000134545	ENST00000359151	ENSPTRT00000067984
ENSG00000134545	ENST00000408006	ENSPTRT00000062196
ENSG00000134545	ENST00000347831	ENSPTRT00000062196
ENSG00000134545	ENST00000543893	ENSPTRT00000062196
ENSG00000134545	ENST00000544822	ENSPTRT00000067984
ENSG00000108984	ENST00000590474	ENSPTRT00000046731
ENSG00000108984	ENST00000589295	ENSPTRT00000046731
ENSG00000108984	ENST00000589295	ENSPTRT00000080165
ENSG00000108984	ENST00000589295	ENSPTRT00000110204
ENSG00000108984	ENST00000589295	ENSPTRT00000100688
ENSG00000108984	ENST00000588110	ENSPTRT00000046731
ENSG00000108984	ENST00000588110	ENSPTRT00000080165
ENSG00000108984	ENST00000588110	ENSPTRT00000110204
ENSG00000108984	ENST00000588110	ENSPTRT00000100688
ENSG00000108984	ENST00000589647	ENSPTRT00000080165
ENSG00000108984	ENST00000613873	ENSPTRT00000080165
ENSG00000213123	ENST00000325318	ENSPTRT00000029423
ENSG00000177469	ENST00000357037	ENSPTRT00000072589
ENSG00000157765	ENST00000645788	ENSPTRT00000029789
ENSG00000157765	ENST00000513204	ENSPTRT00000029789
ENSG00000157765	ENST00000504570	ENSPTRT00000029789
ENSG00000157765	ENST00000382051	ENSPTRT00000029789
ENSG00000157765	ENST00000503434	ENSPTRT00000029789
ENSG00000157765	ENST00000507530	ENSPTRT00000029789
ENSG00000159259	ENST00000314103	ENSPTRT00000093991
ENSG00000103876	ENST00000558022	ENSPTRT00000088569
ENSG00000103876	ENST00000558022	ENSPTRT00000013572
ENSG00000103876	ENST00000558022	ENSPTRT00000106442
ENSG00000103876	ENST00000558022	ENSPTRT00000085918
ENSG00000103876	ENST00000558022	ENSPTRT00000013574
ENSG00000103876	ENST00000407106	ENSPTRT00000013574
ENSG00000103876	ENST00000261755	ENSPTRT00000013574
ENSG00000103876	ENST00000561421	ENSPTRT00000013574
ENSG00000149548	ENST00000529051	ENSPTRT00000008216
ENSG00000149548	ENST00000344762	ENSPTRT00000008216
ENSG00000146414	ENST00000417762	ENSPTRT00000056765
ENSG00000146414	ENST00000367505	ENSPTRT00000056765
ENSG00000146414	ENST00000438092	ENSPTRT00000056765
ENSG00000146414	ENST00000275233	ENSPTRT00000056765
ENSG00000146414	ENST00000629427	ENSPTRT00000056765
ENSG00000146414	ENST00000367503	ENSPTRT00000056765
ENSG00000168748	ENST00000338437	ENSPTRT00000015129
ENSG00000168748	ENST00000394069	ENSPTRT00000105601
ENSG00000116117	ENST00000406610	ENSPTRT00000023808
ENSG00000116117	ENST00000462231	ENSPTRT00000108155
ENSG00000116117	ENST00000358768	ENSPTRT00000077100
ENSG00000116117	ENST00000351153	ENSPTRT00000096389
ENSG00000116117	ENST00000349953	ENSPTRT00000103075
ENSG00000116117	ENST00000613457	ENSPTRT00000077100
