ENSG00000173757	ENSPTRG00000009198
ENSG00000166813	ENSPTRG00000007434
ENSG00000174307	ENSPTRG00000047455
ENSG00000154079	ENSPTRG00000018331
ENSG00000103126	ENSPTRG00000007537
ENSG00000205922	ENSPTRG00000045423
ENSG00000177721	ENSPTRG00000016838
ENSG00000140534	ENSPTRG00000007433
ENSG00000172262	ENSPTRG00000016842
ENSG00000112818	ENSPTRG00000018239
ENSG00000134480	ENSPTRG00000017063
ENSG00000276234	ENSPTRG00000009054
ENSG00000161082	ENSPTRG00000010259
ENSG00000117335	ENSPTRG00000001931
ENSG00000018699	ENSPTRG00000011820
ENSG00000146143	ENSPTRG00000044256
ENSG00000196547	ENSPTRG00000007463
ENSG00000160180	ENSPTRG00000013939
ENSG00000112175	ENSPTRG00000018300
ENSG00000198837	ENSPTRG00000001365
ENSG00000162244	ENSPTRG00000016733
ENSG00000182508	ENSPTRG00000022195
ENSG00000126934	ENSPTRG00000010294
ENSG00000160181	ENSPTRG00000013940
ENSG00000143614	ENSPTRG00000001364
ENSG00000144410	ENSPTRG00000012849
ENSG00000184838	ENSPTRG00000017170
ENSG00000143183	ENSPTRG00000001618
ENSG00000071553	ENSPTRG00000022435
ENSG00000157766	ENSPTRG00000007424
ENSG00000141933	ENSPTRG00000049019
ENSG00000099866	ENSPTRG00000010151
ENSG00000172775	ENSPTRG00000008148
ENSG00000112309	ENSPTRG00000018334
ENSG00000138119	ENSPTRG00000002765
ENSG00000143179	ENSPTRG00000001619
ENSG00000112305	ENSPTRG00000018333
ENSG00000160182	ENSPTRG00000013941
ENSG00000080644	ENSPTRG00000007347
ENSG00000126016	ENSPTRG00000022197
ENSG00000181867	ENSPTRG00000017171
ENSG00000131482	ENSPTRG00000009229
ENSG00000169684	ENSPTRG00000007346
ENSG00000159176	ENSPTRG00000001836
ENSG00000081237	ENSPTRG00000001817
ENSG00000096060	ENSPTRG00000018088
ENSG00000184787	ENSPTRG00000013990
ENSG00000119772	ENSPTRG00000011723
ENSG00000060566	ENSPTRG00000010295
ENSG00000177169	ENSPTRG00000047610
ENSG00000138378	ENSPTRG00000047534
ENSG00000198373	ENSPTRG00000008288
ENSG00000164086	ENSPTRG00000014988
ENSG00000138621	ENSPTRG00000007292
ENSG00000129925	ENSPTRG00000007540
ENSG00000144401	ENSPTRG00000012852
ENSG00000126561	ENSPTRG00000009199
ENSG00000086504	ENSPTRG00000047553
ENSG00000143217	ENSPTRG00000001567
ENSG00000118260	ENSPTRG00000043959
ENSG00000183648	ENSPTRG00000006649
ENSG00000157343	ENSPTRG00000018089
ENSG00000168701	ENSPTRG00000008222
ENSG00000167173	ENSPTRG00000007294
ENSG00000162755	ENSPTRG00000001568
ENSG00000115414	ENSPTRG00000012892
ENSG00000113083	ENSPTRG00000017173
ENSG00000188859	ENSPTRG00000001621
ENSG00000170627	ENSPTRG00000005041
ENSG00000118263	ENSPTRG00000012850
ENSG00000161638	ENSPTRG00000005040
ENSG00000066117	ENSPTRG00000004924
ENSG00000151304	ENSPTRG00000017172
ENSG00000130270	ENSPTRG00000047280
ENSG00000178502	ENSPTRG00000009183
ENSG00000134954	ENSPTRG00000004466
ENSG00000161642	ENSPTRG00000005039
ENSG00000166819	ENSPTRG00000007436
ENSG00000160183	ENSPTRG00000013942
ENSG00000119900	ENSPTRG00000018335
ENSG00000166821	ENSPTRG00000007437
ENSG00000196748	ENSPTRG00000024123
ENSG00000170927	ENSPTRG00000018272
ENSG00000139572	ENSPTRG00000005038
ENSG00000164087	ENSPTRG00000014989
ENSG00000158796	ENSPTRG00000001571
ENSG00000149182	ENSPTRG00000003556
ENSG00000158793	ENSPTRG00000001570
ENSG00000138180	ENSPTRG00000002766
ENSG00000023572	ENSPTRG00000001795
ENSG00000129910	ENSPTRG00000008473
ENSG00000165934	ENSPTRG00000006651
ENSG00000116747	ENSPTRG00000001794
ENSG00000204305	ENSPTRG00000018011
ENSG00000143256	ENSPTRG00000001569
ENSG00000138207	ENSPTRG00000002768
ENSG00000149179	ENSPTRG00000003555
ENSG00000119004	ENSPTRG00000012829
ENSG00000186188	ENSPTRG00000002767
ENSG00000156564	ENSPTRG00000018141
ENSG00000116750	ENSPTRG00000001793
ENSG00000170345	ENSPTRG00000047703
ENSG00000204140	ENSPTRG00000029713
