ENSG00000143954	ENSPTRG00000012112
ENSG00000109107	ENSPTRG00000008923
ENSG00000114735	ENSPTRG00000014966
ENSG00000140285	ENSPTRG00000007057
ENSG00000104472	ENSPTRG00000049044
ENSG00000118496	ENSPTRG00000018682
ENSG00000116996	ENSPTRG00000002151
ENSG00000134545	ENSPTRG00000029778
ENSG00000108984	ENSPTRG00000009588
ENSG00000213123	ENSPTRG00000015777
ENSG00000177469	ENSPTRG00000040069
ENSG00000157765	ENSPTRG00000015965
ENSG00000159259	ENSPTRG00000013891
ENSG00000103876	ENSPTRG00000007362
ENSG00000149548	ENSPTRG00000004436
ENSG00000146414	ENSPTRG00000018683
ENSG00000168748	ENSPTRG00000008203
ENSG00000116117	ENSPTRG00000012838
ENSG00000159256	ENSPTRG00000013890
ENSG00000163312	ENSPTRG00000016232
ENSG00000203685	ENSPTRG00000030135
ENSG00000161217	ENSPTRG00000049191
ENSG00000153976	ENSPTRG00000045588
ENSG00000111325	ENSPTRG00000005589
ENSG00000172478	ENSPTRG00000013114
ENSG00000114021	ENSPTRG00000015161
ENSG00000143772	ENSPTRG00000002051
ENSG00000122257	ENSPTRG00000007897
ENSG00000163947	ENSPTRG00000015041
ENSG00000172023	ENSPTRG00000012113
ENSG00000126882	ENSPTRG00000021484
ENSG00000187151	ENSPTRG00000004208
ENSG00000090402	ENSPTRG00000015590
ENSG00000110318	ENSPTRG00000004209
ENSG00000197563	ENSPTRG00000010072
ENSG00000123612	ENSPTRG00000012554
ENSG00000138083	ENSPTRG00000011887
ENSG00000120370	ENSPTRG00000001667
ENSG00000105552	ENSPTRG00000011258
ENSG00000117480	ENSPTRG00000000693
ENSG00000172020	ENSPTRG00000015246
ENSG00000115568	ENSPTRG00000012923
ENSG00000011028	ENSPTRG00000009508
ENSG00000006695	ENSPTRG00000008790
ENSG00000176170	ENSPTRG00000009679
ENSG00000142515	ENSPTRG00000011358
ENSG00000164220	ENSPTRG00000017003
ENSG00000087111	ENSPTRG00000008922
ENSG00000205336	ENSPTRG00000031199
ENSG00000163959	ENSPTRG00000015775
ENSG00000157978	ENSPTRG00000000362
ENSG00000074582	ENSPTRG00000012924
ENSG00000163808	ENSPTRG00000014825
ENSG00000114978	ENSPTRG00000012079
ENSG00000161542	ENSPTRG00000009678
ENSG00000136960	ENSPTRG00000020534
ENSG00000076650	ENSPTRG00000010803
ENSG00000065320	ENSPTRG00000008752
ENSG00000121871	ENSPTRG00000015592
ENSG00000007216	ENSPTRG00000008919
ENSG00000143801	ENSPTRG00000002052
ENSG00000132600	ENSPTRG00000008265
ENSG00000155099	ENSPTRG00000020412
ENSG00000066405	ENSPTRG00000015438
ENSG00000170577	ENSPTRG00000011888
ENSG00000114200	ENSPTRG00000015593
ENSG00000160539	ENSPTRG00000021485
ENSG00000163960	ENSPTRG00000044067
ENSG00000044574	ENSPTRG00000000563
ENSG00000115386	ENSPTRG00000012114
ENSG00000123505	ENSPTRG00000018501
ENSG00000109101	ENSPTRG00000008920
ENSG00000073737	ENSPTRG00000012612
ENSG00000184205	ENSPTRG00000046130
ENSG00000206535	ENSPTRG00000030171
ENSG00000158163	ENSPTRG00000015439
ENSG00000109103	ENSPTRG00000008921
ENSG00000154174	ENSPTRG00000015162
ENSG00000163961	ENSPTRG00000045575
ENSG00000153721	ENSPTRG00000018725
ENSG00000214097	ENSPTRG00000034079
ENSG00000166747	ENSPTRG00000008327
ENSG00000186451	ENSPTRG00000045462
ENSG00000204930	ENSPTRG00000045649
ENSG00000169964	ENSPTRG00000014826
ENSG00000012504	ENSPTRG00000005345
ENSG00000153317	ENSPTRG00000020587
ENSG00000137103	ENSPTRG00000020924
ENSG00000083812	ENSPTRG00000039130
ENSG00000185798	ENSPTRG00000015782
ENSG00000176715	ENSPTRG00000008471
ENSG00000160781	ENSPTRG00000045864
ENSG00000083807	ENSPTRG00000011596
ENSG00000175538	ENSPTRG00000038909
ENSG00000181085	ENSPTRG00000020666
ENSG00000100505	ENSPTRG00000006338
ENSG00000174013	ENSPTRG00000015783
ENSG00000169118	ENSPTRG00000007157
ENSG00000169064	ENSPTRG00000015595
ENSG00000112038	ENSPTRG00000018723
ENSG00000204344	ENSPTRG00000017999
ENSG00000083838	ENSPTRG00000011595
ENSG00000137133	ENSPTRG00000020923
ENSG00000147509	ENSPTRG00000020250
ENSG00000103056	ENSPTRG00000008267
ENSG00000166359	ENSPTRG00000010804
ENSG00000165434	ENSPTRG00000004064
ENSG00000166451	ENSPTRG00000008383
ENSG00000123908	ENSPTRG00000020622
ENSG00000174007	ENSPTRG00000015785
ENSG00000174004	ENSPTRG00000015784
ENSG00000013375	ENSPTRG00000018379
ENSG00000158525	ENSPTRG00000019695
ENSG00000153822	ENSPTRG00000009589
ENSG00000154845	ENSPTRG00000009860
ENSG00000143995	ENSPTRG00000011994
ENSG00000102271	ENSPTRG00000022075
ENSG00000155100	ENSPTRG00000020413
ENSG00000163964	ENSPTRG00000015786
ENSG00000118017	ENSPTRG00000015440
ENSG00000173838	ENSPTRG00000009509
ENSG00000185565	ENSPTRG00000015247
ENSG00000138231	ENSPTRG00000015441
ENSG00000269190	ENSPTRG00000052313
ENSG00000196465	ENSPTRG00000023043
ENSG00000160783	ENSPTRG00000001450
ENSG00000129910	ENSPTRG00000008473
ENSG00000100206	ENSPTRG00000014370
ENSG00000161243	ENSPTRG00000010950
ENSG00000139613	ENSPTRG00000005081
ENSG00000180370	ENSPTRG00000015787
ENSG00000128626	ENSPTRG00000010948
ENSG00000164050	ENSPTRG00000014884
ENSG00000136451	ENSPTRG00000009442
ENSG00000162951	ENSPTRG00000012118
ENSG00000143669	ENSPTRG00000002134
ENSG00000170100	ENSPTRG00000008475
ENSG00000114204	ENSPTRG00000015596
ENSG00000163932	ENSPTRG00000015023
ENSG00000066032	ENSPTRG00000049489
ENSG00000168710	ENSPTRG00000001067
