Transcript	Exon
ENST00000309955	ENSE00001717236
ENST00000309955	ENSE00002684918
ENST00000309955	ENSE00003790546
ENST00000309955	ENSE00003682105
ENST00000309955	ENSE00003055759
ENST00000309955	ENSE00003640229
ENST00000309955	ENSE00003651940
ENST00000309955	ENSE00003784075
ENST00000309955	ENSE00003513466
ENST00000309955	ENSE00001931152
ENST00000443227	ENSE00001604629
ENST00000443227	ENSE00003691588
ENST00000443227	ENSE00003682105
ENST00000443227	ENSE00003055759
ENST00000443227	ENSE00003640229
ENST00000443227	ENSE00003651940
ENST00000443227	ENSE00003784075
ENST00000443227	ENSE00003513466
ENST00000443227	ENSE00001623689
ENST00000341222	ENSE00001253295
ENST00000341222	ENSE00002684918
ENST00000341222	ENSE00003790546
ENST00000341222	ENSE00003682105
ENST00000341222	ENSE00003055759
ENST00000341222	ENSE00001671465
ENST00000341582	ENSE00001877784
ENST00000341582	ENSE00002684918
ENST00000341582	ENSE00003790546
ENST00000341582	ENSE00003682105
ENST00000341582	ENSE00003055759
ENST00000341582	ENSE00003784075
ENST00000341582	ENSE00003513466
ENST00000341582	ENSE00001768912
ENST00000342795	ENSE00001914733
ENST00000342795	ENSE00002684918
ENST00000342795	ENSE00003790546
ENST00000342795	ENSE00003682105
ENST00000342795	ENSE00003055759
ENST00000342795	ENSE00003640229
ENST00000342795	ENSE00003651940
ENST00000342795	ENSE00003784075
ENST00000342795	ENSE00001862667
ENST00000395148	ENSE00001564281
ENST00000395148	ENSE00002684918
ENST00000395148	ENSE00003790546
ENST00000395148	ENSE00003682105
ENST00000395148	ENSE00001647382
ENST00000441224	ENSE00001802556
ENST00000441224	ENSE00002684918
ENST00000441224	ENSE00003790546
ENST00000433445	ENSE00001700691
ENST00000433445	ENSE00001774293
ENST00000423241	ENSE00001875696
ENST00000423241	ENSE00002684918
ENST00000423241	ENSE00003790546
ENST00000423241	ENSE00003682105
ENST00000423241	ENSE00003055759
ENST00000423241	ENSE00003640229
ENST00000423241	ENSE00003651940
ENST00000423241	ENSE00003784075
ENST00000423241	ENSE00003513466
ENST00000423241	ENSE00001662436
ENST00000425030	ENSE00001698282
ENST00000425030	ENSE00001661375
ENST00000417748	ENSE00001596597
ENST00000417748	ENSE00002684918
ENST00000417748	ENSE00001667428
ENST00000440180	ENSE00001719578
ENST00000440180	ENSE00003790546
ENST00000440180	ENSE00003682105
ENST00000440180	ENSE00003055759
ENST00000440180	ENSE00001620815
ENST00000457277	ENSE00001695187
ENST00000457277	ENSE00003790546
ENST00000457277	ENSE00003682105
ENST00000457277	ENSE00003055759
ENST00000457277	ENSE00003640229
ENST00000457277	ENSE00003651940
ENST00000457277	ENSE00003784075
ENST00000457277	ENSE00003513466
ENST00000457277	ENSE00001630714
ENST00000494258	ENSE00001840278
ENST00000494258	ENSE00003691588
ENST00000494258	ENSE00003682105
ENST00000494258	ENSE00001924305
ENST00000470178	ENSE00001945284
ENST00000470178	ENSE00003682105
ENST00000470178	ENSE00003055759
ENST00000470178	ENSE00002225107
ENST00000462763	ENSE00001913158
ENST00000462763	ENSE00003682105
ENST00000462763	ENSE00003055759
ENST00000462763	ENSE00003640229
ENST00000462763	ENSE00003651940
ENST00000462763	ENSE00003784075
ENST00000479953	ENSE00001861842
ENST00000479953	ENSE00003682105
ENST00000479953	ENSE00003055759
ENST00000479953	ENSE00003640229
ENST00000479953	ENSE00003651940
ENST00000479953	ENSE00003784075
ENST00000479953	ENSE00003513466
ENST00000479953	ENSE00003207830
ENST00000340870	ENSE00003735748
ENST00000340870	ENSE00003682105
ENST00000340870	ENSE00003055759
ENST00000340870	ENSE00003751474
ENST00000340870	ENSE00003784075
ENST00000340870	ENSE00003748645
